"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"MountingHole_2.2mm_M2";1;"MountingHole_2.2mm_M2";;;
2;"XA1";"poncho_recortado";1;"Conn_Poncho2P_2x_20x2";;;
3;"SW1,SW2,SW3,SW4,SW5";"SW_PUSH_6mm_H5mm";5;"SW_Push";;;
4;"U1";"DIP-8_W7.62mm";1;"LM358";;;
5;"U2";"DIP-8_W7.62mm";1;"LM386";;;
6;"J2";"Jack_3.5mm_QingPu_WQP-PJ398SM_Vertical_CircularHoles";1;"Audio_JACK_2P";;;
7;"Rf1,RV1";"potenciometro_acostado";2;"10K";;;
8;"C7,C1,C3,C4";"CP_Radial_D5.0mm_P2.50mm";4;"10uF";;;
9;"DS1";"LCD-Catedra";1;"LCD16X2";;;
10;"C2";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"0.01uF";;;
11;"C5";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"47nF";;;
12;"LS1";"TerminalBlock_bornier-2_P5.08mm";1;"8 Ohm";;;
13;"R1,R8,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"100";;;
14;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"100k";;;
15;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"220k";;;
16;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"~636";;;
17;"R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"30k";;;
18;"R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1k";;;
19;"R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10";;;
20;"Rg1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10k";;;
21;"C6";"CP_Radial_D5.0mm_P2.50mm";1;"250Uf";;;
22;"C8";"CP_Radial_D5.0mm_P2.50mm";1;"1F";;;
23;"REF**,REF**";"SolderWirePad_1x01_Drill0.8mm";2;"SolderWirePad_1x01_Drill0.8mm";;;
24;"REF**";"OSHW-Symbol_8.9x8mm_Copper";1;"OSHW-Symbol_8.9x8mm_Copper";;;
